year;week;other;electric
2010;1;17;0
2010;2;2776;0
2010;3;1953;0
2010;4;2078;0
2010;5;2873;0
2010;6;2016;0
2010;7;2137;0
2010;8;2311;1
2010;9;2629;0
2010;10;1915;9
2010;11;2075;10
2010;12;2574;16
2010;13;3353;7
2010;14;1531;0
2010;15;1848;4
2010;16;2603;6
2010;17;2836;16
2010;18;3349;16
2010;19;2204;1
2010;20;2073;5
2010;21;2063;14
2010;22;2620;15
2010;23;2786;7
2010;24;2588;1
2010;25;2531;9
2010;26;2647;5
2010;27;3859;1
2010;28;2395;0
2010;29;2200;2
2010;30;2214;4
2010;31;2269;4
2010;32;1919;5
2010;33;1980;4
2010;34;2257;25
2010;35;2572;12
2010;36;2986;15
2010;37;2304;14
2010;38;2460;7
2010;39;2542;6
2010;40;2926;22
2010;41;2071;6
2010;42;2213;14
2010;43;2428;8
2010;44;3432;6
2010;45;2519;4
2010;46;2491;14
2010;47;2509;5
2010;48;2607;4
2010;49;3065;8
2010;50;2020;6
2010;51;2409;8
2010;52;2174;4
2010;53;2192;5
2011;2;2932;25
2011;3;2135;16
2011;4;2074;14
2011;5;2302;51
2011;6;2578;30
2011;7;2245;39
2011;8;2485;30
2011;9;2848;23
2011;10;2868;40
2011;11;2403;72
2011;12;2796;53
2011;13;2557;48
2011;14;3663;48
2011;15;2521;38
2011;16;3272;47
2011;17;1516;11
2011;18;3332;34
2011;19;2548;28
2011;20;2978;30
2011;21;2313;34
2011;22;3245;39
2011;23;2778;23
2011;24;2611;21
2011;25;2108;23
2011;26;2534;17
2011;27;3599;21
2011;28;2678;8
2011;29;2403;15
2011;30;2281;8
2011;31;2197;8
2011;32;1855;11
2011;33;2162;25
2011;34;2322;14
2011;35;2358;59
2011;36;3563;40
2011;37;2054;54
2011;38;2363;44
2011;39;2620;38
2011;40;3577;54
2011;41;2281;46
2011;42;2413;54
2011;43;2664;46
2011;44;3057;29
2011;45;2950;45
2011;46;2647;43
2011;47;2589;80
2011;48;2772;88
2011;49;2948;125
2011;50;2364;69
2011;51;2818;54
2011;52;2883;46
2011;53;2286;42
2012;1;2996;29
2012;2;2198;52
2012;3;2021;64
2012;4;2053;80
2012;5;2552;58
2012;6;2165;79
2012;7;2387;66
2012;8;2390;74
2012;9;3338;82
2012;10;2263;68
2012;11;2623;56
2012;12;2666;100
2012;13;4274;80
2012;14;915;15
2012;15;2044;47
2012;16;2992;57
2012;17;3706;103
2012;18;2637;66
2012;19;2743;73
2012;20;2245;62
2012;21;3023;49
2012;22;3018;96
2012;23;2181;46
2012;24;2561;48
2012;25;2709;58
2012;26;2941;109
2012;27;3687;42
2012;28;2474;48
2012;29;2335;56
2012;30;2022;64
2012;31;2385;82
2012;32;2151;78
2012;33;2367;81
2012;34;2342;86
2012;35;3286;147
2012;36;2045;68
2012;37;2362;114
2012;38;2589;136
2012;39;3523;265
2012;40;2100;73
2012;41;2383;106
2012;42;2562;85
2012;43;2655;87
2012;44;3289;94
2012;45;2383;53
2012;46;2630;19
2012;47;2516;115
2012;48;3179;103
2012;49;1953;72
2012;50;2418;62
2012;51;3526;68
2012;52;1183;30
2012;53;33;0
2013;1;1905;76
2013;2;2326;75
2013;3;2252;67
2013;4;2358;66
2013;5;2917;64
2013;6;2294;80
2013;7;2532;68
2013;8;2465;101
2013;9;3638;82
2013;10;2404;96
2013;11;2581;86
2013;12;3302;101
2013;13;1707;52
2013;14;2099;87
2013;15;2784;94
2013;16;2885;124
2013;17;3466;107
2013;18;3263;102
2013;19;2124;74
2013;20;2428;97
2013;21;2336;60
2013;22;3777;97
2013;23;2601;86
2013;24;2500;101
2013;25;2528;86
2013;26;2939;99
2013;27;3296;63
2013;28;2144;59
2013;29;2066;53
2013;30;1790;49
2013;31;2510;90
2013;32;2021;112
2013;33;2301;120
2013;34;2254;181
2013;35;3616;251
2013;36;2030;205
2013;37;2225;258
2013;38;2440;198
2013;39;3268;322
2013;40;2970;179
2013;41;2121;181
2013;42;2429;206
2013;43;2516;189
2013;44;3469;259
2013;45;2110;190
2013;46;2304;298
2013;47;2422;368
2013;48;3433;550
2013;49;2056;333
2013;50;2413;430
2013;51;3546;420
2013;52;1138;53
2013;53;969;37
2014;1;1242;206
2014;2;2284;253
2014;3;2060;246
2014;4;2046;173
2014;5;2673;223
2014;6;2103;280
